Date,Site.ID,Daily.Max.1.hour.NO2.Concentration
7/20/2023,360050110,22.6
7/21/2023,360050110,25.5
7/22/2023,360050110,16.3
7/23/2023,360050110,15.6
7/24/2023,360050110,30
7/25/2023,360050110,29
7/26/2023,360050110,24.7
7/27/2023,360050110,19.8
7/28/2023,360050110,22.6
7/29/2023,360050110,13.9
7/30/2023,360050110,11
8/1/2023,360050110,10.6
8/2/2023,360050110,15.7
8/3/2023,360050110,32.7
8/4/2023,360050110,19.7
8/5/2023,360050110,12.9
8/6/2023,360050110,8.9
8/7/2023,360050110,16.2
8/8/2023,360050110,18.7
8/9/2023,360050110,12.6
8/10/2023,360050110,30.5
8/11/2023,360050110,25.1
8/12/2023,360050110,30.1
8/13/2023,360050110,20.5
8/14/2023,360050110,27.9
8/15/2023,360050110,14.9
8/16/2023,360050110,17.6
8/17/2023,360050110,21.8
8/18/2023,360050110,21.7
8/19/2023,360050110,11.9
8/20/2023,360050110,14.8
8/21/2023,360050110,27.1
8/22/2023,360050110,13.8
8/23/2023,360050110,15.8
8/24/2023,360050110,21.1
8/25/2023,360050110,34.4
8/26/2023,360050110,35.3
